R	400,300
x : 0.600000	 y : 0.000000	 z : -1.111111
x : 0.688889	 y : 0.000000	 z : -1.111111
x : 0.755556	 y : 0.000000	 z : -1.111111
x : 0.777778	 y : 0.000000	 z : -1.111111
x : 0.822222	 y : 0.000000	 z : -1.111111
x : 0.977778	 y : 0.000000	 z : -1.111111
x : 1.088889	 y : 0.000000	 z : -1.111111
x : 1.155556	 y : 0.000000	 z : -1.111111
x : 1.200000	 y : 0.000000	 z : -1.111111
x : 1.466667	 y : 0.000000	 z : -1.111111
x : 1.644444	 y : 0.000000	 z : -1.111111
x : 1.711111	 y : 0.000000	 z : -1.111111
x : 1.800000	 y : 0.000000	 z : -1.111111
x : 1.822222	 y : 0.000000	 z : -1.111111
x : 1.844444	 y : 0.000000	 z : -1.111111
x : 1.933333	 y : 0.000000	 z : -1.111111
x : 1.977778	 y : 0.000000	 z : -1.111111
x : 0.043478	 y : 0.000000	 z : -1.304348
x : 0.173913	 y : 0.000000	 z : -1.304348
x : 0.239130	 y : 0.000000	 z : -1.304348
x : 0.282609	 y : 0.000000	 z : -1.304348
x : 0.434783	 y : 0.000000	 z : -1.304348
x : 0.521739	 y : 0.000000	 z : -1.304348
x : 0.586957	 y : 0.000000	 z : -1.304348
x : 0.652174	 y : 0.000000	 z : -1.304348
x : 0.673913	 y : 0.000000	 z : -1.304348
x : 0.739130	 y : 0.000000	 z : -1.304348
x : 0.934783	 y : 0.000000	 z : -1.304348
x : 1.000000	 y : 0.000000	 z : -1.304348
x : 1.130435	 y : 0.000000	 z : -1.304348
x : 1.239130	 y : 0.000000	 z : -1.304348
x : 1.260870	 y : 0.000000	 z : -1.304348
x : 1.369565	 y : 0.000000	 z : -1.304348
x : 1.565217	 y : 0.000000	 z : -1.304348
x : 1.630435	 y : 0.000000	 z : -1.304348
x : 1.760870	 y : 0.000000	 z : -1.304348
x : 1.956522	 y : 0.000000	 z : -1.304348
x : 1.978261	 y : 0.000000	 z : -1.304348
x : 0.042553	 y : 0.000000	 z : -1.489362
x : 0.127660	 y : 0.000000	 z : -1.489362
x : 0.170213	 y : 0.000000	 z : -1.489362
x : 0.191489	 y : 0.000000	 z : -1.489362
x : 0.276596	 y : 0.000000	 z : -1.489362
x : 0.510638	 y : 0.000000	 z : -1.489362
x : 0.553191	 y : 0.000000	 z : -1.489362
x : 0.617021	 y : 0.000000	 z : -1.489362
x : 0.638298	 y : 0.000000	 z : -1.489362
x : 0.872340	 y : 0.000000	 z : -1.489362
x : 0.957447	 y : 0.000000	 z : -1.489362
x : 1.021277	 y : 0.000000	 z : -1.489362
x : 1.042553	 y : 0.000000	 z : -1.489362
x : 1.085106	 y : 0.000000	 z : -1.489362
x : 1.234043	 y : 0.000000	 z : -1.489362
x : 1.297872	 y : 0.000000	 z : -1.489362
x : 1.425532	 y : 0.000000	 z : -1.489362
x : 1.489362	 y : 0.000000	 z : -1.489362
x : 1.808511	 y : 0.000000	 z : -1.489362
x : 1.829787	 y : 0.000000	 z : -1.489362
x : 1.851064	 y : 0.000000	 z : -1.489362
x : 0.062500	 y : 0.000000	 z : -1.666667
x : 0.083333	 y : 0.000000	 z : -1.666667
x : 0.354167	 y : 0.000000	 z : -1.666667
x : 0.375000	 y : 0.000000	 z : -1.666667
x : 0.458333	 y : 0.000000	 z : -1.666667
x : 0.520833	 y : 0.000000	 z : -1.666667
x : 0.583333	 y : 0.000000	 z : -1.666667
x : 0.625000	 y : 0.000000	 z : -1.666667
x : 0.708333	 y : 0.000000	 z : -1.666667
